agent_name,price,address_locality,agent_phone,address,agent_address,street_address
Alexander & Co.,750000,Dunstable,+44 1582 944195,"Bullpond Lane, Dunstable LU6","48 High Street South, Dunstable, LU6 3HD |",Bullpond Lane
Alexander & Co.,700000,Dunstable,+44 1582 944195,"Lancot Place, Dunstable LU6","48 High Street South, Dunstable, LU6 3HD |",Lancot Place
Alexander & Co.,600000,Dunstable,+44 1582 944195,"Ennerdale Avenue, Dunstable LU6","48 High Street South, Dunstable, LU6 3HD |",Ennerdale Avenue
Alexander & Co.,500000,Dunstable,+44 1582 944195,"Lockhart Close, Dunstable LU6","48 High Street South, Dunstable, LU6 3HD |",Lockhart Close
Alexander & Co.,450000,Dunstable,+44 1582 944195,"Aubrey Close, Dunstable LU5","48 High Street South, Dunstable, LU6 3HD |",Aubrey Close
Alexander & Co.,450000,Dunstable,+44 1582 944195,"Garden Road, Dunstable LU6","48 High Street South, Dunstable, LU6 3HD |",Garden Road
Alexander & Co.,425000,Dunstable,+44 1582 944195,"Langdale Road, Dunstable LU6","48 High Street South, Dunstable, LU6 3HD |",Langdale Road
Alexander & Co.,400000,Dunstable,+44 1582 944195,"Kingsbury Gardens, Dunstable LU5","48 High Street South, Dunstable, LU6 3HD |",Kingsbury Gardens
Alexander & Co.,385000,Dunstable,+44 1582 944195,"French's Gate, Dunstable LU6","48 High Street South, Dunstable, LU6 3HD |",French's Gate
Alexander & Co.,375000,Dunstable,+44 1582 944195,"Great Northern Road, Dunstable LU5","48 High Street South, Dunstable, LU6 3HD |",Great Northern Road
Alexander & Co.,375000,Leighton Buzzard,+44 1582 944195,"Ivinghoe Aston, Leighton Buzzard LU7","48 High Street South, Dunstable, LU6 3HD |",Ivinghoe Aston
Alexander & Co.,365000,Dunstable,+44 1582 944195,"Lowther Road, Dunstable LU6","48 High Street South, Dunstable, LU6 3HD |",Lowther Road
Alexander & Co.,350000,Dunstable,+44 1582 944195,"London Road, Dunstable LU6","48 High Street South, Dunstable, LU6 3HD |",London Road
Alexander & Co.,350000,Dunstable,+44 1582 944195,"Olma Road, Dunstable LU5","48 High Street South, Dunstable, LU6 3HD |",Olma Road
Alexander & Co.,350000,Dunstable,+44 1582 944195,"Richmond Court, Wallace Drive, Eaton Bray, Dunstable LU6","48 High Street South, Dunstable, LU6 3HD |",Design Drive
Alexander & Co.,325000,Dunstable,+44 1582 944195,"Staveley Road, Dunstable LU6","48 High Street South, Dunstable, LU6 3HD |",Staveley Road
Alexander & Co.,325000,Dunstable,+44 1582 944195,"Holyrood Drive, Houghton Regis, Dunstable LU5","48 High Street South, Dunstable, LU6 3HD |",Holyrood Drive
Alexander & Co.,320000,Kensworth Dunstable,+44 1582 944195,"Ridgeway, Kensworth, Dunstable LU6","48 High Street South, Dunstable, LU6 3HD |",Ridgeway
